#縣市,鄉鎮,村里,開票所數,1得票,2得票,3得票,無效票,選舉人數
金門縣,金沙鎮,大洋里,1,22,364,9,9,2496
金門縣,金沙鎮,浦山里,1,37,731,19,39,4902
金門縣,金沙鎮,官嶼里,1,30,634,13,21,4668
金門縣,金沙鎮,何斗里,1,50,588,14,9,4248
金門縣,金沙鎮,汶沙里,3,122,1609,54,33,11526
金門縣,金沙鎮,西園里,1,32,435,12,6,3306
金門縣,金沙鎮,光前里,1,39,703,10,27,4803
金門縣,金沙鎮,三山里,1,21,555,17,36,4158
金門縣,金沙鎮,,0,353,5619,148,180,40107
金門縣,烈嶼鄉,林湖村,2,61,980,27,18,7122
金門縣,烈嶼鄉,上岐村,1,31,742,21,24,5709
金門縣,烈嶼鄉,西口村,1,30,540,8,24,4845
金門縣,烈嶼鄉,上林村,1,25,385,11,6,3105
金門縣,烈嶼鄉,黃埔村,1,28,376,2,33,3075
金門縣,烈嶼鄉,,0,175,3023,69,105,23856
金門縣,金湖鎮,料羅里,1,38,525,25,18,3828
金門縣,金湖鎮,正義里,1,72,758,25,36,5325
金門縣,金湖鎮,溪湖里,1,31,428,18,12,3108
金門縣,金湖鎮,山外里,2,117,1025,31,15,7449
金門縣,金湖鎮,新市里,2,162,1590,52,24,10713
金門縣,金湖鎮,新湖里,3,251,1968,81,27,14343
金門縣,金湖鎮,蓮庵里,1,35,487,12,24,3519
金門縣,金湖鎮,瓊林里,2,100,959,24,18,6819
金門縣,金湖鎮,,0,806,7740,268,174,55104
金門縣,烏坵鄉,大坵村,1,7,47,0,0,552
金門縣,烏坵鄉,小坵村,1,2,47,0,3,648
金門縣,烏坵鄉,,0,9,94,0,3,1200
金門縣,金寧鄉,湖埔村,2,126,1476,35,27,10308
金門縣,金寧鄉,后盤村,1,34,408,9,3,3138
金門縣,金寧鄉,榜林村,2,96,1238,30,24,9504
金門縣,金寧鄉,盤山村,2,324,1411,47,54,10680
金門縣,金寧鄉,安美村,2,93,1154,36,60,8688
金門縣,金寧鄉,古寧村,2,59,902,13,48,6849
金門縣,金寧鄉,,0,732,6589,170,216,49167
金門縣,金城鎮,東門里,2,206,1616,39,30,11355
金門縣,金城鎮,賢庵里,2,140,1200,34,24,8943
金門縣,金城鎮,西門里,4,260,3267,82,81,22137
金門縣,金城鎮,南門里,3,174,1770,71,39,12318
金門縣,金城鎮,古城里,2,78,1067,24,30,7530
金門縣,金城鎮,金水里,1,38,582,17,18,4410
金門縣,金城鎮,珠沙里,1,72,695,23,21,5727
金門縣,金城鎮,北門里,2,150,1414,45,27,9993
金門縣,金城鎮,,0,1118,11611,335,270,82413
金門縣,,,0,3193,34676,990,948,251847
新竹縣,寶山鄉,雙溪村,2,411,1033,69,24,6021
新竹縣,寶山鄉,大崎村,1,353,794,45,15,4623
新竹縣,寶山鄉,新城村,1,316,507,35,21,3429
新竹縣,寶山鄉,寶山村,1,160,407,18,18,2217
新竹縣,寶山鄉,山湖村,1,125,251,13,9,1515
新竹縣,寶山鄉,三峰村,1,247,449,19,24,2991
新竹縣,寶山鄉,深井村,1,202,354,16,12,2184
新竹縣,寶山鄉,雙新村,2,549,1068,63,45,6855
新竹縣,寶山鄉,油田村,1,188,275,11,18,1785
新竹縣,寶山鄉,寶斗村,1,202,290,23,12,1995
新竹縣,寶山鄉,,0,2753,5428,312,198,33615
新竹縣,芎林鄉,五龍村,1,87,302,15,24,1509
新竹縣,芎林鄉,水坑村,1,188,326,19,18,2115
新竹縣,芎林鄉,芎林村,1,379,797,44,18,4542
新竹縣,芎林鄉,下山村,1,249,599,21,12,3363
新竹縣,芎林鄉,石潭村,2,576,1296,69,42,7665
新竹縣,芎林鄉,中坑村,1,91,335,18,18,1773
新竹縣,芎林鄉,文林村,2,505,1202,60,48,6804
新竹縣,芎林鄉,上山村,3,915,1841,108,36,10956
新竹縣,芎林鄉,秀湖村,1,179,514,35,24,2745
新竹縣,芎林鄉,永興村,1,70,222,9,15,1233
新竹縣,芎林鄉,華龍村,1,98,232,10,6,1323
新竹縣,芎林鄉,新鳳村,1,400,716,31,42,4518
新竹縣,芎林鄉,,0,3737,8382,439,303,48546
新竹縣,竹北市,大眉里,1,421,732,51,12,4737
新竹縣,竹北市,崇義里,2,740,604,35,45,5394
新竹縣,竹北市,新崙里,3,1275,2199,129,78,13818
新竹縣,竹北市,隘口里,1,358,646,41,9,3915
新竹縣,竹北市,新庄里,1,317,417,25,24,3021
新竹縣,竹北市,竹北里,4,968,2584,123,66,14787
新竹縣,竹北市,尚義里,2,609,440,45,27,4365
新竹縣,竹北市,新港里,1,542,334,21,12,3402
