#縣市,鄉鎮,村里,開票所數,1得票,2得票,3得票,無效票,選舉人數
新竹縣,竹北市,東平里,4,1397,2765,135,54,16425
新竹縣,竹北市,十興里,10,3629,7638,326,168,44847
新竹縣,竹北市,竹仁里,6,1741,4014,179,93,23595
新竹縣,竹北市,白地里,2,682,689,34,21,5652
新竹縣,竹北市,大義里,2,616,507,32,24,4581
新竹縣,竹北市,新社里,5,1493,2789,158,60,17982
新竹縣,竹北市,泰和里,3,1128,2338,115,42,14397
新竹縣,竹北市,鹿場里,4,1103,2452,111,60,13746
新竹縣,竹北市,新國里,3,1131,1835,94,78,12273
新竹縣,竹北市,福德里,3,787,1495,77,48,9231
新竹縣,竹北市,溪州里,2,716,918,42,36,6402
新竹縣,竹北市,北崙里,3,769,1757,86,51,9867
新竹縣,竹北市,東海里,2,701,1513,92,36,9099
新竹縣,竹北市,麻園里,1,581,660,39,12,4881
新竹縣,竹北市,中興里,3,1058,2109,92,42,12495
新竹縣,竹北市,竹義里,4,1139,2215,86,45,14142
新竹縣,竹北市,聯興里,3,1117,1810,108,78,11802
新竹縣,竹北市,斗崙里,6,1819,3963,149,99,22614
新竹縣,竹北市,,0,26837,49423,2425,1320,307470
新竹縣,湖口鄉,鳳山村,2,455,1651,94,96,9129
新竹縣,湖口鄉,信勢村,3,1004,2170,84,66,13191
新竹縣,湖口鄉,勝利村,3,580,1869,96,69,10521
新竹縣,湖口鄉,湖南村,1,310,794,40,36,4599
新竹縣,湖口鄉,仁勢村,1,192,436,15,6,2517
新竹縣,湖口鄉,德盛村,3,1016,2006,96,48,12168
新竹縣,湖口鄉,信義村,2,608,1383,85,24,8148
新竹縣,湖口鄉,東興村,3,816,1816,95,51,10731
新竹縣,湖口鄉,中興村,4,768,2907,110,120,15396
新竹縣,湖口鄉,長嶺村,2,681,1362,77,63,8310
新竹縣,湖口鄉,愛勢村,3,953,1971,116,72,11661
新竹縣,湖口鄉,中正村,2,549,1127,45,33,6462
新竹縣,湖口鄉,長安村,1,335,457,43,9,3198
新竹縣,湖口鄉,中勢村,2,596,1341,57,36,7551
新竹縣,湖口鄉,鳳凰村,3,952,2175,114,87,13632
新竹縣,湖口鄉,和興村,2,849,1179,48,54,8043
新竹縣,湖口鄉,波羅村,2,439,844,49,39,5835
新竹縣,湖口鄉,湖鏡村,2,387,1381,69,36,6927
新竹縣,湖口鄉,孝勢村,1,295,748,35,24,4089
新竹縣,湖口鄉,湖口村,2,617,1274,60,45,7668
新竹縣,湖口鄉,,0,12402,28891,1428,1014,169776
新竹縣,橫山鄉,福興村,1,139,230,14,9,1461
新竹縣,橫山鄉,橫山村,3,614,1789,91,69,10095
新竹縣,橫山鄉,內灣村,1,158,523,38,33,2994
新竹縣,橫山鄉,田寮村,1,216,468,27,15,2649
新竹縣,橫山鄉,豐鄉村,1,63,105,21,6,810
新竹縣,橫山鄉,新興村,2,298,879,32,33,4623
新竹縣,橫山鄉,沙坑村,2,281,511,20,21,3093
新竹縣,橫山鄉,豐田村,1,91,166,6,21,1002
新竹縣,橫山鄉,大肚村,1,227,826,59,33,4419
新竹縣,橫山鄉,力行村,2,156,476,37,24,2568
新竹縣,橫山鄉,南昌村,1,45,91,15,9,705
新竹縣,橫山鄉,,0,2288,6064,360,273,34419
新竹縣,竹東鎮,員崠里,2,378,1149,49,33,6399
新竹縣,竹東鎮,東華里,1,161,418,11,12,2292
新竹縣,竹東鎮,忠孝里,1,267,843,33,30,4509
新竹縣,竹東鎮,竹東里,2,323,733,32,30,4101
新竹縣,竹東鎮,大鄉里,3,684,2275,87,66,12507
新竹縣,竹東鎮,三重里,5,1045,2862,145,75,15930
新竹縣,竹東鎮,上坪里,1,66,159,11,12,1029
新竹縣,竹東鎮,林里,3,632,2006,92,69,10782
新竹縣,竹東鎮,南華里,1,243,577,38,15,3285
新竹縣,竹東鎮,柯湖里,1,195,292,17,12,1977
新竹縣,竹東鎮,榮華里,5,1117,3582,151,108,18654
新竹縣,竹東鎮,榮樂里,2,278,780,37,12,4224
新竹縣,竹東鎮,仁愛里,2,581,1660,78,93,9162
新竹縣,竹東鎮,二重里,7,1745,4316,213,102,24804
新竹縣,竹東鎮,瑞峰里,1,85,201,11,3,1218
新竹縣,竹東鎮,中山里,2,354,913,55,24,5154
新竹縣,竹東鎮,上里,6,1292,4381,237,144,24090
新竹縣,竹東鎮,商華里,2,484,1419,74,39,8574
新竹縣,竹東鎮,東寧里,3,504,1686,78,63,8994
新竹縣,竹東鎮,陸豐里,1,132,308,16,12,1692
新竹縣,竹東鎮,中正里,2,384,902,43,30,5046
新竹縣,竹東鎮,五豐里,6,1066,3616,190,114,20286
新竹縣,竹東鎮,頭重里,3,871,2132,106,63,12210
新竹縣,竹東鎮,軟橋里,1,83,172,17,6,1092
新竹縣,竹東鎮,員山里,1,386,950,38,30,5229
新竹縣,竹東鎮,,0,13356,38332,1859,1197,213240
新竹縣,關西鎮,玉山里,1,140,190,20,27,1494
新竹縣,關西鎮,東光里,1,341,551,21,24,3690
新竹縣,關西鎮,上林里,1,184,431,21,15,2562
新竹縣,關西鎮,東安里,3,777,1674,91,66,10260
新竹縣,關西鎮,北斗里,3,815,1833,82,51,10869
新竹縣,關西鎮,大同里,1,315,297,19,18,2382
新竹縣,關西鎮,仁安里,1,346,443,44,15,3333
新竹縣,關西鎮,東平里,1,311,408,22,42,2973
新竹縣,關西鎮,南和里,1,245,394,27,6,2580
新竹縣,關西鎮,南雄里,1,180,363,18,12,2217
新竹縣,關西鎮,新富里,1,202,219,14,6,1833
新竹縣,關西鎮,金山里,1,155,279,16,24,1887
新竹縣,關西鎮,南山里,1,269,484,26,39,3216
新竹縣,關西鎮,東興里,1,107,302,9,9,1593
新竹縣,關西鎮,北山里,1,224,337,14,27,2313
新竹縣,關西鎮,西安里,2,335,1031,48,51,5472
新竹縣,關西鎮,東山里,1,268,341,21,6,2568
新竹縣,關西鎮,石光里,2,484,869,47,33,5508
新竹縣,關西鎮,新力里,1,174,266,9,3,1764
新竹縣,關西鎮,南新里,1,258,404,32,27,2904
新竹縣,關西鎮,錦山里,1,266,450,24,18,3189
新竹縣,關西鎮,,0,6396,11566,625,519,74607
新竹縣,新埔鎮,旱坑里,2,423,876,43,27,5487
新竹縣,新埔鎮,鹿鳴里,1,288,244,21,18,2211
新竹縣,新埔鎮,新生里,1,194,294,12,6,1899
新竹縣,新埔鎮,四座里,3,948,1445,73,69,9696
新竹縣,新埔鎮,照門里,1,485,581,30,18,4266
新竹縣,新埔鎮,北平里,1,238,261,19,9,2016
新竹縣,新埔鎮,清水里,1,197,153,8,0,1338
新竹縣,新埔鎮,下寮里,2,548,1052,60,27,6606
新竹縣,新埔鎮,田新里,3,555,1253,46,45,7317
新竹縣,新埔鎮,上寮里,2,506,774,44,21,5373
新竹縣,新埔鎮,寶石里,1,270,411,19,12,2637
新竹縣,新埔鎮,新埔里,1,268,490,18,24,3000
新竹縣,新埔鎮,新民里,1,224,558,19,21,3324
新竹縣,新埔鎮,新北里,1,262,230,7,21,1893
新竹縣,新埔鎮,巨埔里,1,425,441,14,15,3327
新竹縣,新埔鎮,文山里,3,966,2008,86,87,12261
新竹縣,新埔鎮,南平里,1,314,446,21,21,3021
新竹縣,新埔鎮,內立里,1,352,481,24,33,3462
新竹縣,新埔鎮,五埔里,2,459,911,45,39,5661
新竹縣,新埔鎮,,0,7922,12909,609,513,84795
新竹縣,北埔鄉,外坪村,1,82,114,11,6,909
新竹縣,北埔鄉,北埔村,1,250,573,23,3,3357
新竹縣,北埔鄉,埔尾村,2,563,1235,60,69,7374
新竹縣,北埔鄉,南興村,1,239,673,43,15,3702
新竹縣,北埔鄉,大林村,1,158,388,24,21,2208
新竹縣,北埔鄉,南坑村,1,85,177,7,21,1080
新竹縣,北埔鄉,水村,1,235,331,28,12,2475
新竹縣,北埔鄉,南埔村,1,79,212,11,6,1215
新竹縣,北埔鄉,大湖村,1,142,266,15,21,1632
新竹縣,北埔鄉,,0,1833,3969,222,174,23952
新竹縣,尖石鄉,梅花村,1,57,297,20,33,1647
新竹縣,尖石鄉,秀巒村,3,163,518,34,21,3486
新竹縣,尖石鄉,玉峰村,3,124,437,18,27,2742
新竹縣,尖石鄉,義興村,2,97,279,10,6,1734
新竹縣,尖石鄉,嘉樂村,2,109,454,28,12,2424
新竹縣,尖石鄉,錦屏村,2,88,591,33,30,3183
新竹縣,尖石鄉,新樂村,1,65,614,58,18,3297
新竹縣,尖石鄉,,0,703,3190,201,147,18513
新竹縣,峨眉鄉,石井村,1,182,259,19,9,1917
新竹縣,峨眉鄉,中盛村,1,236,277,22,12,2091
新竹縣,峨眉鄉,七星村,2,217,235,12,36,1881
新竹縣,峨眉鄉,峨眉村,1,202,443,22,39,2607
新竹縣,峨眉鄉,湖光村,2,326,327,14,21,2649
新竹縣,峨眉鄉,富興村,1,330,594,28,36,3786
新竹縣,峨眉鄉,,0,1493,2135,117,153,14931
新竹縣,新豐鄉,福興村,1,331,419,31,21,3048
新竹縣,新豐鄉,中崙村,2,628,1319,76,48,8250
新竹縣,新豐鄉,後湖村,2,492,775,36,42,5325
新竹縣,新豐鄉,崎頂村,2,520,1198,54,36,7440
新竹縣,新豐鄉,員山村,2,371,1030,36,51,5751
新竹縣,新豐鄉,埔和村,2,976,849,33,33,7845
新竹縣,新豐鄉,上坑村,1,312,664,33,9,4113
新竹縣,新豐鄉,山崎村,3,828,1983,94,42,11415
新竹縣,新豐鄉,鳳坑村,1,260,472,21,42,3039
新竹縣,新豐鄉,松柏村,3,616,1653,75,60,9486
新竹縣,新豐鄉,忠孝村,2,606,1634,67,24,8844
新竹縣,新豐鄉,新豐村,2,832,684,39,72,6255
新竹縣,新豐鄉,青埔村,1,373,729,38,15,4683
新竹縣,新豐鄉,瑞興村,1,438,635,37,15,4605
新竹縣,新豐鄉,松林村,3,789,2155,100,63,12114
新竹縣,新豐鄉,坡頭村,1,293,297,21,18,2475
新竹縣,新豐鄉,重興村,3,939,2187,84,63,13359
新竹縣,新豐鄉,,0,9604,18683,875,654,118047
新竹縣,五峰鄉,花園村,1,80,311,26,9,1890
新竹縣,五峰鄉,桃山村,2,198,613,36,21,4020
新竹縣,五峰鄉,大隘村,2,101,751,39,18,3924
新竹縣,五峰鄉,竹林村,1,38,150,26,15,1038
新竹縣,五峰鄉,,0,417,1825,127,63,10872
新竹縣,,,0,89741,190797,9599,6528,1152783
新竹市,北區,民富里,4,1455,1574,97,57,12924
新竹市,北區,南勢里,3,1510,1121,78,72,10884
新竹市,北區,舊社里,4,1578,2274,134,63,16014
新竹市,北區,西門里、中央里,1,397,277,17,15,2805
新竹市,北區,仁德里,1,292,231,14,6,2160
新竹市,北區,大同里,1,223,322,8,12,2247
新竹市,北區,南寮里,4,1529,1733,97,84,14271
新竹市,北區,潛園里,1,315,242,18,18,2292
新竹市,北區,湳雅里,2,633,1109,74,57,7170
新竹市,北區,北門里,1,387,300,17,18,2778
新竹市,北區,台溪里,1,369,603,25,24,4368
新竹市,北區,舊港里,1,180,199,17,6,1695
新竹市,北區,中寮里,2,892,1064,58,36,8349
新竹市,北區,磐石里,4,1669,1958,108,66,14760
新竹市,北區,港北里,1,538,390,25,21,3798
新竹市,北區,福林里,3,1031,1592,88,63,10404
新竹市,北區,光華里,3,896,1450,62,51,11277
新竹市,北區,古賢里,1,359,281,15,18,2622
新竹市,北區,新民里,1,452,506,29,18,4155
新竹市,北區,中興里,1,220,175,11,12,1689
新竹市,北區,士林里,2,628,494,50,21,4572
新竹市,北區,水田里,2,839,1143,68,30,8088
新竹市,北區,石坊里,1,188,181,13,9,1542
新竹市,北區,大鵬里,1,34,140,14,9,1002
新竹市,北區,崇禮里,1,515,342,35,21,3456
新竹市,北區,湳中里,4,1459,2745,132,72,16716
新竹市,北區,海濱里,2,932,1074,85,33,8853
新竹市,北區,金雅里,2,734,888,44,21,6231
新竹市,北區,客雅里,4,1126,2151,106,111,13284
新竹市,北區,長和里,1,488,455,35,21,3975
新竹市,北區,中山里,1,290,189,19,12,1905
新竹市,北區,文雅里,3,1169,1519,76,48,10599
新竹市,北區,武陵里,4,385,2934,122,93,13395
新竹市,北區,育英里,3,1135,1251,72,42,9837
新竹市,北區,境福里,3,1437,1867,121,60,13329
新竹市,北區,金華里,4,1300,1987,112,45,13302
新竹市,北區,興南里,1,484,542,27,27,4266
新竹市,北區,西雅里,2,985,990,61,45,8145
新竹市,北區,曲溪里,5,1355,2121,125,78,14907
新竹市,北區,新雅里,3,1468,1543,76,48,12411
新竹市,北區,光田里,2,650,884,41,18,6204
新竹市,北區,金竹里,4,1353,2317,129,72,15030
新竹市,北區,康樂里,2,745,839,49,57,6681
新竹市,北區,,0,34624,45997,2604,1710,334392
新竹市,香山區,朝山里,2,652,674,31,54,5487
新竹市,香山區,南隘里,1,217,271,14,36,2082
新竹市,香山區,大庄里,2,1002,828,53,54,7659
新竹市,香山區,港南里,2,855,680,45,54,6372
新竹市,香山區,埔前里,2,1061,921,67,45,8442
新竹市,香山區,浸水里,2,841,563,36,27,5829
新竹市,香山區,大湖里,1,281,283,22,30,2310
新竹市,香山區,茄苳里,1,285,298,12,21,2502
新竹市,香山區,美山里,1,435,370,26,9,3267
新竹市,香山區,中埔里,2,911,1071,46,30,8124
新竹市,香山區,鹽水里,1,487,454,34,24,4005
新竹市,香山區,牛埔里,3,1037,1338,82,36,9897
新竹市,香山區,東香里,3,842,1505,84,69,9501
新竹市,香山區,樹下里,2,954,564,31,27,6120
新竹市,香山區,頂埔里,3,1276,1553,103,45,11958
新竹市,香山區,南港里,1,354,238,16,15,2607
新竹市,香山區,虎林里,2,748,791,44,48,6327
新竹市,香山區,海山里,2,734,757,76,54,6339
新竹市,香山區,內湖里,3,1266,1552,64,93,11916
新竹市,香山區,中隘里,1,418,669,26,24,4725
新竹市,香山區,香村里,2,826,1081,57,42,8079
新竹市,香山區,頂福里,3,1092,1501,71,45,10557
新竹市,香山區,香山里,3,1157,1325,85,54,10686
新竹市,香山區,虎山里,5,1883,1708,125,72,14988
新竹市,香山區,,0,19614,20995,1250,1008,169779
新竹市,東區,武功里,3,399,2495,104,75,11343
新竹市,東區,成功里,1,246,252,16,6,2064
新竹市,東區,東門里,1,256,203,21,3,1926
新竹市,東區,埔頂里,2,847,1181,64,39,8151
新竹市,東區,光明里,3,593,1655,61,63,9135
新竹市,東區,文華里,3,1163,1976,101,60,12561
新竹市,東區,寺前里,1,274,265,18,9,2232
新竹市,東區,建功里,3,281,1303,56,45,6198
新竹市,東區,湖濱里,3,1018,1437,68,42,9858
新竹市,東區,光鎮里,3,995,1387,72,54,9804
新竹市,東區,仙宮里,1,293,511,36,18,3384
新竹市,東區,光復里,2,700,855,36,54,6114
新竹市,東區,新光里,3,1056,1390,67,30,10017
新竹市,東區,錦華里,2,365,1018,60,33,5847
新竹市,東區,頂竹里,3,985,1193,57,42,8913
新竹市,東區,復中里,3,1208,1877,80,60,12369
新竹市,東區,榮光里,1,117,127,5,12,1083
新竹市,東區,公園里,2,755,1329,65,45,8448
新竹市,東區,龍山里,3,770,1650,75,24,9561
新竹市,東區,立功里,1,118,535,30,24,2700
新竹市,東區,南市里,1,365,308,17,18,2778
新竹市,東區,柴橋里,3,1147,1981,120,48,12843
新竹市,東區,南門里,1,254,261,17,3,2199
新竹市,東區,育賢里、三民里,1,317,426,17,12,4692
新竹市,東區,綠水里,5,1335,2797,126,69,16731
新竹市,東區,高峰里,4,1575,2401,82,90,16245
新竹市,東區,南大里,2,509,500,44,27,4317
新竹市,東區,關帝里,1,227,162,17,9,1653
新竹市,東區,復興里,3,1179,2046,91,63,12981
新竹市,東區,振興里,4,1490,2129,125,81,15420
新竹市,東區,關東里,3,834,2092,89,72,12000
新竹市,東區,科園里,4,1355,3269,128,75,17691
新竹市,東區,親仁里,2,278,833,38,30,4611
新竹市,東區,千甲里,2,543,888,42,57,5787
新竹市,東區,三民里,3,1318,1726,110,36,12153
新竹市,東區,前溪里,2,882,1016,64,54,7854
新竹市,東區,軍功里,3,539,1996,77,78,10167
新竹市,東區,金山里,4,989,2412,88,105,14097
新竹市,東區,新莊里,4,1723,3515,178,66,20961
新竹市,東區,仙水里,3,911,2051,109,66,11859
新竹市,東區,東山里,3,816,1540,87,45,9333
新竹市,東區,竹蓮里,1,345,259,22,12,2367
新竹市,東區,水源里,3,1256,1124,86,39,9702
新竹市,東區,福德里,1,431,557,18,9,4065
新竹市,東區,東勢里,1,633,898,42,21,6090
新竹市,東區,中正里,1,197,179,8,6,1485
新竹市,東區,新興里,3,1019,1189,72,45,8937
新竹市,東區,東園里,3,812,1368,81,36,8892
新竹市,東區,下竹里,1,169,271,23,0,1746
新竹市,東區,明湖里,3,876,1751,108,51,11760
新竹市,東區,建華里,2,718,939,50,39,6750
新竹市,東區,豐功里,3,913,2213,94,66,12309
新竹市,東區,,0,38394,67736,3362,2166,432183
新竹市,,,0,92632,134728,7216,4884,936354
桃園縣,龍潭鄉,高原村,2,1075,1374,74,36,10665
桃園縣,龍潭鄉,九龍村,2,749,1437,74,69,9378
桃園縣,龍潭鄉,富林村,2,675,1707,69,51,9825
桃園縣,龍潭鄉,上華村,2,530,1330,64,36,7761
桃園縣,龍潭鄉,龍潭村,2,647,799,34,30,5712
桃園縣,龍潭鄉,聖德村,2,806,956,53,36,7944
桃園縣,龍潭鄉,黃唐村,3,1043,1633,80,66,11586
桃園縣,龍潭鄉,烏樹林村,2,689,828,53,21,6249
桃園縣,龍潭鄉,八德村,3,986,1474,88,39,10647
桃園縣,龍潭鄉,高平村,2,921,1017,51,30,8163
桃園縣,龍潭鄉,東興村,2,613,1926,87,87,10839
桃園縣,龍潭鄉,武漢村,2,606,1007,52,36,7071
桃園縣,龍潭鄉,烏林村,2,849,1597,90,75,10437
桃園縣,龍潭鄉,建林村,2,618,2017,49,39,10557
桃園縣,龍潭鄉,三坑村,1,566,435,24,33,4227
桃園縣,龍潭鄉,中興村,2,850,1840,84,63,11364
桃園縣,龍潭鄉,中正村,2,921,1935,85,57,11793
桃園縣,龍潭鄉,佳安村,3,580,1794,60,33,9285
桃園縣,龍潭鄉,上林村,2,1131,1481,90,51,11049
桃園縣,龍潭鄉,北興村,2,374,1010,42,51,6006
桃園縣,龍潭鄉,三水村,1,331,170,12,21,1986
桃園縣,龍潭鄉,百年村,2,469,1889,82,39,9618
桃園縣,龍潭鄉,龍祥村,2,622,1375,43,48,8643
桃園縣,龍潭鄉,凌雲村,2,746,1370,54,33,9075
桃園縣,龍潭鄉,三和村,2,579,828,32,27,5466
桃園縣,龍潭鄉,三林村,2,589,1336,68,39,7758
桃園縣,龍潭鄉,龍星村,2,949,1668,58,27,11526
桃園縣,龍潭鄉,大平村,1,557,681,41,9,5124
桃園縣,龍潭鄉,永興村,2,724,1141,70,51,7878
桃園縣,龍潭鄉,中山村,3,1262,1972,100,81,12987
桃園縣,龍潭鄉,,0,22057,40027,1863,1314,260619
桃園縣,大園鄉,三石村,2,1073,975,69,75,8139
桃園縣,大園鄉,田心村,3,1902,1895,105,69,15885
桃園縣,大園鄉,林村,3,1978,2035,103,117,16875
桃園縣,大園鄉,後厝村,2,745,778,32,30,6225
桃園縣,大園鄉,和平村,1,687,388,27,39,4542
桃園縣,大園鄉,橫峰村,5,2169,2411,141,111,19302
桃園縣,大園鄉,埔心村,3,2065,1729,110,93,15846
桃園縣,大園鄉,南港村,2,1011,1298,93,63,10878
桃園縣,大園鄉,竹圍村,2,843,1094,61,39,8091
桃園縣,大園鄉,大園村,4,1956,2029,100,102,16719
桃園縣,大園鄉,溪海村,2,1384,1313,75,60,11727
桃園縣,大園鄉,大海村,1,469,709,39,18,4776
桃園縣,大園鄉,北港村,2,833,817,49,72,7221
桃園縣,大園鄉,海口村,1,489,579,35,27,4536
桃園縣,大園鄉,圳頭村,2,909,743,47,27,6849
桃園縣,大園鄉,內海村,1,721,690,34,48,5823
桃園縣,大園鄉,沙崙村,2,877,935,54,93,7830
桃園縣,大園鄉,五權村,3,1794,1261,60,72,12240
桃園縣,大園鄉,,0,21905,21679,1234,1155,183504
桃園縣,中壢市,五權里,3,1672,1957,87,87,14916
桃園縣,中壢市,中榮里,1,291,310,11,15,2466
桃園縣,中壢市,光明里,3,1329,2366,111,45,15063
桃園縣,中壢市,篤行里,1,369,887,34,24,5424
桃園縣,中壢市,普義里,2,735,1531,95,51,13695
桃園縣,中壢市,後寮里,2,932,1736,95,57,11664
桃園縣,中壢市,龍德里,2,808,1762,75,30,10083
桃園縣,中壢市,舊明里,1,534,561,41,33,4425
桃園縣,中壢市,至善里,2,536,1623,70,51,9333
桃園縣,中壢市,山東里,2,1579,843,77,81,9621
桃園縣,中壢市,仁福里,3,757,2233,82,84,12570
桃園縣,中壢市,過嶺里,2,1197,1102,59,42,9126
桃園縣,中壢市,龍岡里,3,842,2370,81,60,12807
桃園縣,中壢市,龍平里,2,344,1856,73,54,8526
桃園縣,中壢市,自強里,2,609,1490,77,36,8712
桃園縣,中壢市,德義里,2,743,1112,60,39,7494
桃園縣,中壢市,林森里,2,930,1488,76,54,10068
桃園縣,中壢市,龍昌里,3,1000,2578,113,60,14499
桃園縣,中壢市,中央里,3,944,1456,64,39,9636
桃園縣,中壢市,仁和里,2,623,1581,68,21,9294
桃園縣,中壢市,芝芭里,2,1080,614,27,36,6723
桃園縣,中壢市,新明里,3,1217,1391,69,36,10758
桃園縣,中壢市,洽溪里,1,765,501,27,15,5103
桃園縣,中壢市,五福里,2,1130,1272,74,36,9918
桃園縣,中壢市,忠義里,2,691,1110,60,27,7299
桃園縣,中壢市,忠孝里,3,903,1855,74,39,11547
桃園縣,中壢市,內壢里,2,466,1022,64,60,6297
桃園縣,中壢市,復興里,4,1661,3178,149,57,20811
桃園縣,中壢市,文化里,4,2152,3397,150,81,22452
桃園縣,中壢市,普仁里,3,993,1629,98,60,11346
桃園縣,中壢市,仁愛里,2,609,1177,79,33,7491
桃園縣,中壢市,中山里,2,760,1991,110,33,11823
桃園縣,中壢市,中原里,2,1012,1609,83,48,10581
桃園縣,中壢市,金華里,2,573,1649,60,42,8838
桃園縣,中壢市,仁美里,3,1018,2453,104,45,14118
桃園縣,中壢市,和平里,2,674,1188,52,48,7239
桃園縣,中壢市,普強里,2,813,1620,71,45,9756
桃園縣,中壢市,自治里,2,352,1946,57,42,9084
桃園縣,中壢市,月眉里,2,1864,1014,62,60,11796
桃園縣,中壢市,新興里,2,946,1513,86,42,10146
桃園縣,中壢市,永興里,1,289,408,35,6,2961
桃園縣,中壢市,成功里,3,869,1782,86,33,11058
桃園縣,中壢市,忠福里,4,1904,2494,121,75,17661
桃園縣,中壢市,中建里,1,374,349,14,6,3015
桃園縣,中壢市,龍東里,3,519,2615,96,48,12582
桃園縣,中壢市,華勛里,2,443,1696,73,18,8520
桃園縣,中壢市,新街里,1,540,860,45,12,5904
桃園縣,中壢市,內定里,4,2031,1985,111,96,16269
桃園縣,中壢市,仁德里,2,458,1309,63,63,7548
桃園縣,中壢市,自信里,3,821,2303,107,42,12993
桃園縣,中壢市,石頭里,1,549,657,30,24,5085
